pathogen,PathogenID,PathogenTaxID,PathogenType,Host,HostID,HostTaxID
echinococcus granulosus,3428069,6210,helminth,damaliscus lunatus,3434123,9929
gaigeria pachyscelis,22683241,-1,helminth,damaliscus lunatus,3434123,9929
lumpy skin disease virus,3494289,59509,virus,damaliscus lunatus,3434123,9929
mycobacterium bovis,3420874,1765,bacteria,damaliscus lunatus,3434123,9929
salmonella enterica,3443028,28901,bacteria,damaliscus lunatus,3434123,9929
schistosoma bovis,3428019,6184,helminth,damaliscus lunatus,3434123,9929
avitellina centripunctata,22681319,1141744,helminth,damaliscus pygargus,3434127,9931
escherichia coli,3419013,562,bacteria,damaliscus pygargus,3434127,9931
haemonchus bedfordi,22682305,1701398,helminth,damaliscus pygargus,3434127,9931
haemonchus contortus,3428209,6289,helminth,damaliscus pygargus,3434127,9931
moniezia expansa,3442939,28841,helminth,damaliscus pygargus,3434127,9931
mycobacterium kansasii,3420880,1768,bacteria,damaliscus pygargus,3434127,9931
nematodirus spathiger,3498312,61841,helminth,damaliscus pygargus,3434127,9931
trichostrongylus axei,3460651,40349,helminth,damaliscus pygargus,3434127,9931
yersinia pseudotuberculosis,3419124,633,bacteria,damaliscus pygargus,3434127,9931
echinococcus oligarthrus,3428073,6212,helminth,dasyprocta azarae,26210901,1541202
trypanosoma cruzi,3427225,5693,protozoa,dasyprocta fuliginosa,3664608,193455
dengue virus,3437782,12637,virus,dasyprocta leporina,3463909,42152
echinococcus oligarthrus,3428073,6212,helminth,dasyprocta leporina,3463909,42152
echinococcus vogeli,3428074,6213,helminth,dasyprocta leporina,3463909,42152
salmonella enterica,3443028,28901,bacteria,dasyprocta leporina,3463909,42152
toxoplasma gondii,3427408,5811,protozoa,dasyprocta leporina,3463909,42152
trypanosoma cruzi,3427225,5693,protozoa,dasyprocta leporina,3463909,42152
turgida torresi,3881167,435941,helminth,dasyprocta punctata,3451523,34846
angiostrongylus cantonensis,3428245,6313,helminth,dasypus novemcinctus,3433170,9361
aspidodera binansata,27216424,1097584,helminth,dasypus novemcinctus,3433170,9361
aspidodera scoleciformis,27216428,1097586,helminth,dasypus novemcinctus,3433170,9361
aspidodera sogandaresi,27216430,1097587,helminth,dasypus novemcinctus,3433170,9361
coccidioides immitis,3426957,5501,fungi,dasypus novemcinctus,3433170,9361
cryptococcus neoformans,3426493,5207,fungi,dasypus novemcinctus,3433170,9361
dirofilaria immitis,3428205,6287,helminth,dasypus novemcinctus,3433170,9361
eastern equine encephalitis virus,3435775,11021,virus,dasypus novemcinctus,3433170,9361
escherichia coli,3419013,562,bacteria,dasypus novemcinctus,3433170,9361
histoplasma capsulatum,3426227,5037,fungi,dasypus novemcinctus,3433170,9361
lauroia bolivari,27216432,1097593,helminth,dasypus novemcinctus,3433170,9361
lauroia trinidadensis,27216434,1097594,helminth,dasypus novemcinctus,3433170,9361
leishmania naiffi,3427198,5678,protozoa,dasypus novemcinctus,3433170,9361
leishmania naiffi,3427198,5678,protozoa,dasypus novemcinctus,3433170,9361
leishmania naiffi,3427198,5678,protozoa,dasypus novemcinctus,3433170,9361
macracanthorhynchus ingens,3496081,60534,helminth,dasypus novemcinctus,3433170,9361
mycobacterium leprae,3420882,1769,bacteria,dasypus novemcinctus,3433170,9361
mycobacterium ulcerans,3420955,1809,bacteria,dasypus novemcinctus,3433170,9361
paracoccidioides brasiliensis,3599140,121759,fungi,dasypus novemcinctus,3433170,9361
purpureocillium lilacinum,3448915,33203,fungi,dasypus novemcinctus,3433170,9361
rabies virus,3436242,11292,virus,dasypus novemcinctus,3433170,9361
salmonella enterica,3443028,28901,bacteria,dasypus novemcinctus,3433170,9361
sarcocystis dasypi,3661650,190329,protozoa,dasypus novemcinctus,3433170,9361
sarcocystis neurona,3465203,42890,protozoa,dasypus novemcinctus,3433170,9361
sporothrix schenckii,3444677,29908,fungi,dasypus novemcinctus,3433170,9361
st. louis encephalitis virus,3435876,11080,virus,dasypus novemcinctus,3433170,9361
toxoplasma gondii,3427408,5811,protozoa,dasypus novemcinctus,3433170,9361
trypanosoma cruzi,3427225,5693,protozoa,dasypus novemcinctus,3433170,9361
paracoccidioides brasiliensis,3599140,121759,fungi,dasypus septemcinctus,26657132,1700840
kowari adenovirus,27501722,1897653,virus,dasyuroides byrnei,3448412,32544
toxoplasma gondii,3427408,5811,protozoa,dasyuroides byrnei,3448412,32544
capillaria aerophila,22680803,1172388,helminth,dasyurus albopunctatus,3448414,32545
candidatus similichlamydia latridicola,27544851,1348236,bacteria,dasyurus maculatus,3433042,9281
chlamydophila pecorum,3540018,85991,bacteria,dasyurus maculatus,3433042,9281
frederiksenia canicola,3600944,123824,bacteria,dasyurus maculatus,3433042,9281
toxoplasma gondii,3427408,5811,protozoa,dasyurus maculatus,3433042,9281
trichinella pseudospiralis,3428276,6337,helminth,dasyurus maculatus,3433042,9281
frederiksenia canicola,3600944,123824,bacteria,dasyurus viverrinus,3433038,9279
toxoplasma gondii,3427408,5811,protozoa,dasyurus viverrinus,3433038,9279
amphritea ceti,27588076,1524258,bacteria,delphinapterus leucas,3433821,9749
anisakis simplex,3428174,6269,helminth,delphinapterus leucas,3433821,9749
beluga whale alphaherpesvirus 1,26745927,1434720,virus,delphinapterus leucas,3433821,9749
beluga whale coronavirus sw1,4073272,694015,virus,delphinapterus leucas,3433821,9749
beluga whale herpesvirus,26745919,1379306,virus,delphinapterus leucas,3433821,9749
cetacean morbillivirus,3454019,36410,virus,delphinapterus leucas,3433821,9749
contracaecum osculatum,3575757,106324,helminth,delphinapterus leucas,3433821,9749
crassicauda giliakiana,26745975,1661369,helminth,delphinapterus leucas,3433821,9749
helicobacter cetorum,3614269,138563,bacteria,delphinapterus leucas,3433821,9749
influenza a virus,3436278,11320,virus,delphinapterus leucas,3433821,9749
mycobacterium marinum,3420906,1781,bacteria,delphinapterus leucas,3433821,9749
phocine distemper virus,3436150,11240,virus,delphinapterus leucas,3433821,9749
pseudoterranova bulbosa,3645204,172674,helminth,delphinapterus leucas,3433821,9749
pseudoterranova decipiens,3428178,6271,helminth,delphinapterus leucas,3433821,9749
toxoplasma gondii,3427408,5811,protozoa,delphinapterus leucas,3433821,9749
vibrio cholerae,3419177,666,bacteria,delphinapterus leucas,3433821,9749
cetacean morbillivirus,3454019,36410,virus,delphinus capensis,3570974,103584
clostridium perfringens,3420448,1502,bacteria,delphinus capensis,3570974,103584
anisakis pegreffii,3760623,303229,helminth,delphinus delphis,3433784,9728
anisakis simplex,3428174,6269,helminth,delphinus delphis,3433784,9728
arcanobacterium phocae,3607600,131112,bacteria,delphinus delphis,3433784,9728
bolbosoma vasculosum,25871169,1202469,helminth,delphinus delphis,3433784,9728
brachycladium atlanticum,3517691,73409,helminth,delphinus delphis,3433784,9728
braunina cordiformis,27372963,1642630,helminth,delphinus delphis,3433784,9728
brucella ceti,3598034,120577,bacteria,delphinus delphis,3433784,9728
campula oblonga,3517695,73411,helminth,delphinus delphis,3433784,9728
candida rugosa,3426929,5481,fungi,delphinus delphis,3433784,9728
cetacean morbillivirus,3454019,36410,virus,delphinus delphis,3433784,9728
cetacean poxvirus 1,3775757,319748,virus,delphinus delphis,3433784,9728
corynosoma cetaceum,3617214,141689,helminth,delphinus delphis,3433784,9728
cryptosporidium parvum,3427400,5807,protozoa,delphinus delphis,3433784,9728
delphinus delphis alphaherpesvirus,27445738,1758214,virus,delphinus delphis,3433784,9728
dolphin polyomavirus 1,26745917,1365206,virus,delphinus delphis,3433784,9728
giardia intestinalis,3427309,5741,protozoa,delphinus delphis,3433784,9728
helicobacter cetorum,3614269,138563,bacteria,delphinus delphis,3433784,9728
monorygma grimaldii,3766675,309908,helminth,delphinus delphis,3433784,9728
nasitrema delphini,26745989,1775969,helminth,delphinus delphis,3433784,9728
oschmarinella rochebruni,3517703,73417,helminth,delphinus delphis,3433784,9728
pholeter gastrophilus,27649651,1642634,helminth,delphinus delphis,3433784,9728
phyllobothrium delphini,3766676,309909,helminth,delphinus delphis,3433784,9728
streptococcus phocae,3596904,119224,bacteria,delphinus delphis,3433784,9728
synthesium tursionis,4026749,638372,helminth,delphinus delphis,3433784,9728
tetrabothrius forsteri,3579585,108485,helminth,delphinus delphis,3433784,9728
toxoplasma gondii,3427408,5811,protozoa,delphinus delphis,3433784,9728
cardiovirus a,25911107,1821749,virus,dendrolagus goodfellowi,3510323,69260
wesselsbron virus,3637662,164416,virus,desmodillus auricularis,3756641,298896
yersinia pestis,3419122,632,bacteria,desmodillus auricularis,3756641,298896
ajellomyces capsulatus,3426227,5037,fungi,desmodus rotundus,3433294,9430
bat polyomavirus,26205230,1221637,virus,desmodus rotundus,3433294,9430
dengue virus,3437782,12637,virus,desmodus rotundus,3433294,9430
desmodus rotundus adenovirus 1,27725305,1905319,virus,desmodus rotundus,3433294,9430
desmodus rotundus adenovirus 2,27725307,1905320,virus,desmodus rotundus,3433294,9430
desmodus rotundus endogenous retrovirus,27357253,1622024,virus,desmodus rotundus,3433294,9430
desmodus rotundus polyomavirus 1,27343858,1606503,virus,desmodus rotundus,3433294,9430
escherichia coli,3419013,562,bacteria,desmodus rotundus,3433294,9430
leishmania amazonensis,3427175,5659,protozoa,desmodus rotundus,3433294,9430
leishmania mexicana,3427184,5665,protozoa,desmodus rotundus,3433294,9430
leptospira borgpetersenii,3418418,174,bacteria,desmodus rotundus,3433294,9430
morganella morganii,3419047,582,bacteria,desmodus rotundus,3433294,9430
myroides odoratus,3418548,256,bacteria,desmodus rotundus,3433294,9430
pegivirus b,25866313,1307801,virus,desmodus rotundus,3433294,9430
porcine rubulavirus,3483026,53179,virus,desmodus rotundus,3433294,9430
rabies virus,3436242,11292,virus,desmodus rotundus,3433294,9430
salmonella enterica,3443028,28901,bacteria,desmodus rotundus,3433294,9430
staphylococcus aureus,3420098,1280,bacteria,desmodus rotundus,3433294,9430
tacaribe virus,3436503,11631,virus,desmodus rotundus,3433294,9430
toxoplasma gondii,3427408,5811,protozoa,desmodus rotundus,3433294,9430
trypanosoma cruzi,3427225,5693,protozoa,desmodus rotundus,3433294,9430
trypanosoma dionisii,3526023,78083,protozoa,desmodus rotundus,3433294,9430
rabies virus,3436242,11292,virus,diaemus youngi,3622898,148087
mycobacterium bovis,3420874,1765,bacteria,dicerorhinus sumatrensis,3546418,89632
african horsesickness virus,3460146,40050,virus,diceros bicornis,3433924,9805
akabane virus,3512557,70566,virus,diceros bicornis,3433924,9805
babesia bicornis,3648930,176664,protozoa,diceros bicornis,3433924,9805
bacillus anthracis,3420278,1392,bacteria,diceros bicornis,3433924,9805
bluetongue virus,3460148,40051,virus,diceros bicornis,3433924,9805
bovine herpesvirus 1,3434755,10320,virus,diceros bicornis,3433924,9805
bovine viral diarrhea virus 1,3435911,11099,virus,diceros bicornis,3433924,9805
crimean-congo hemorrhagic fever virus,3436438,11593,virus,diceros bicornis,3433924,9805
cycloposthium bipalmatum,4067506,686996,protozoa,diceros bicornis,3433924,9805
cycloposthium edentatum,3908588,467016,protozoa,diceros bicornis,3433924,9805
diplodinium dentatum,3473888,47889,protozoa,diceros bicornis,3433924,9805
diploplastron affine,3792898,338344,protozoa,diceros bicornis,3433924,9805
entodinium bursa,3810320,358014,protozoa,diceros bicornis,3433924,9805
entodinium dubardi,3810319,358013,protozoa,diceros bicornis,3433924,9805
entodinium furca,3810316,358010,protozoa,diceros bicornis,3433924,9805
epidinium caudatum,3473884,47887,protozoa,diceros bicornis,3433924,9805
epizootic hemorrhagic disease of deer virus,3437790,12647,virus,diceros bicornis,3433924,9805
epizootic hemorrhagic disease virus,3460152,40054,virus,diceros bicornis,3433924,9805
equid herpesvirus 1,3434767,10326,virus,diceros bicornis,3433924,9805
leptospira interrogans,3418416,173,bacteria,diceros bicornis,3433924,9805
metadinium medium,3780518,324857,protozoa,diceros bicornis,3433924,9805
mycobacterium avium,3420872,1764,bacteria,diceros bicornis,3433924,9805
mycobacterium bovis,3420874,1765,bacteria,diceros bicornis,3433924,9805
mycobacterium tuberculosis,3420890,1773,bacteria,diceros bicornis,3433924,9805
ostracodinium gracile,3810328,358022,protozoa,diceros bicornis,3433924,9805
ostracodinium trivesiculatum,4074990,696974,protozoa,diceros bicornis,3433924,9805
polyplastron multivesiculatum,3473898,47894,protozoa,diceros bicornis,3433924,9805
pseudomonas aeruginosa,3418593,287,bacteria,diceros bicornis,3433924,9805
rift valley fever virus,3436428,11588,virus,diceros bicornis,3433924,9805
salmonella enterica,3443028,28901,bacteria,diceros bicornis,3433924,9805
spirodinium equi,3978901,550467,protozoa,diceros bicornis,3433924,9805
staphylococcus aureus,3420098,1280,bacteria,diceros bicornis,3433924,9805
tetratoxum parvum,25871299,1298958,protozoa,diceros bicornis,3433924,9805
theileria bicornis,3663067,191824,protozoa,diceros bicornis,3433924,9805
toxoplasma gondii,3427408,5811,protozoa,diceros bicornis,3433924,9805
trypanosoma brucei,3427222,5691,protozoa,diceros bicornis,3433924,9805
trypanosoma congolense,3427224,5692,protozoa,diceros bicornis,3433924,9805
trypanosoma vivax,3427237,5699,protozoa,diceros bicornis,3433924,9805
arctocestus serratus,27326142,1577175,helminth,dicrostonyx groenlandicus,3539948,85953
douthittia nordenskioeldi,27605668,1577177,helminth,dicrostonyx groenlandicus,3539948,85953
microcephaloides krebsi,27326146,1577182,helminth,dicrostonyx groenlandicus,3539948,85953
paranoplocephala arctica,3616799,1577187,helminth,dicrostonyx groenlandicus,3539948,85953
pelodera strongyloides,3452517,35557,helminth,dicrostonyx groenlandicus,3539948,85953
rabies virus,3436242,11292,virus,dicrostonyx groenlandicus,3539948,85953
rauschoides alternata,27605754,1577186,helminth,dicrostonyx groenlandicus,3539948,85953
taenia polyacantha,3633533,159984,helminth,dicrostonyx groenlandicus,3539948,85953
arctocestus serratus,27326142,1577175,helminth,dicrostonyx torquatus,3539946,85952
douthittia nordenskioeldi,27605668,1577177,helminth,dicrostonyx torquatus,3539946,85952
ajellomyces capsulatus,3426227,5037,fungi,didelphis albiventris,3464898,42716
aspidodera raillieti,27216426,1097585,helminth,didelphis albiventris,3464898,42716
ehrlichia canis,3419579,944,bacteria,didelphis albiventris,3464898,42716
ehrlichia ewingii,3419583,947,bacteria,didelphis albiventris,3464898,42716
ehrlichia ruminantium,3419339,779,bacteria,didelphis albiventris,3464898,42716
hepatozoon canis,3582336,110120,protozoa,didelphis albiventris,3464898,42716
leishmania braziliensis,3427177,5660,protozoa,didelphis albiventris,3464898,42716
leishmania chagasi,3467474,44271,protozoa,didelphis albiventris,3464898,42716
leishmania donovani,3427179,5661,protozoa,didelphis albiventris,3464898,42716
leishmania infantum,3427192,5671,protozoa,didelphis albiventris,3464898,42716
leishmania peruviana,3427204,5681,protozoa,didelphis albiventris,3464898,42716
leptospira borgpetersenii,3418418,174,bacteria,didelphis albiventris,3464898,42716
leptospira interrogans,3418416,173,bacteria,didelphis albiventris,3464898,42716
neospora caninum,3443483,29176,protozoa,didelphis albiventris,3464898,42716
paracoccidioides brasiliensis,3599140,121759,fungi,didelphis albiventris,3464898,42716
sarcocystis falcatula,3448477,32593,protozoa,didelphis albiventris,3464898,42716
sarcocystis lindsayi,3643032,170346,protozoa,didelphis albiventris,3464898,42716
sarcocystis neurona,3465203,42890,protozoa,didelphis albiventris,3464898,42716
sarcocystis speeri,26201164,1636721,protozoa,didelphis albiventris,3464898,42716
staphylococcus aureus,3420098,1280,bacteria,didelphis albiventris,3464898,42716
toxocara cati,3428168,6266,helminth,didelphis albiventris,3464898,42716
toxoplasma gondii,3427408,5811,protozoa,didelphis albiventris,3464898,42716
travassostrongylus orloffi,27529765,1290193,helminth,didelphis albiventris,3464898,42716
trypanosoma cruzi,3427225,5693,protozoa,didelphis albiventris,3464898,42716
trypanosoma rangeli,3427235,5698,protozoa,didelphis albiventris,3464898,42716
viannaia hamata,27258934,1290198,helminth,didelphis albiventris,3464898,42716
gnathostoma turgidum,3497706,61465,helminth,didelphis aurita,3539508,85694
leishmania braziliensis,3427177,5660,protozoa,didelphis aurita,3539508,85694
leishmania donovani,3427179,5661,protozoa,didelphis aurita,3539508,85694
leishmania infantum,3427192,5671,protozoa,didelphis aurita,3539508,85694
physaloptera turgida,3521407,75559,helminth,didelphis aurita,3539508,85694
sarcocystis falcatula,3448477,32593,protozoa,didelphis aurita,3539508,85694
sarcocystis lindsayi,3643032,170346,protozoa,didelphis aurita,3539508,85694
toxoplasma gondii,3427408,5811,protozoa,didelphis aurita,3539508,85694
trypanosoma cruzi,3427225,5693,protozoa,didelphis aurita,3539508,85694
aspidodera raillieti,27216426,1097585,helminth,didelphis marsupialis,3433020,9268
bordetella bronchiseptica,3418935,518,bacteria,didelphis marsupialis,3433020,9268
brachylaima virginianum,3787867,332927,helminth,didelphis marsupialis,3433020,9268
candidatus mycoplasma haemodidelphidis,3586179,112247,bacteria,didelphis marsupialis,3433020,9268
candiru phlebovirus,25924812,1933182,virus,didelphis marsupialis,3433020,9268
capillaria aerophila,22680803,1172388,helminth,didelphis marsupialis,3433020,9268
cruzia americana,3493839,59252,helminth,didelphis marsupialis,3433020,9268
dengue virus,3437782,12637,virus,didelphis marsupialis,3433020,9268
didelphostrongylus hayesi,3708797,242445,helminth,didelphis marsupialis,3433020,9268
leishmania amazonensis,3427175,5659,protozoa,didelphis marsupialis,3433020,9268
leishmania braziliensis,3427177,5660,protozoa,didelphis marsupialis,3433020,9268
leishmania chagasi,3467474,44271,protozoa,didelphis marsupialis,3433020,9268
leishmania donovani,3427179,5661,protozoa,didelphis marsupialis,3433020,9268
leishmania mexicana,3427184,5665,protozoa,didelphis marsupialis,3433020,9268
leptospira interrogans,3418416,173,bacteria,didelphis marsupialis,3433020,9268
leptospira noguchii,3441953,28182,bacteria,didelphis marsupialis,3433020,9268
neospora caninum,3443483,29176,protozoa,didelphis marsupialis,3433020,9268
oligacanthorhynchus tortuosa,3536954,84287,helminth,didelphis marsupialis,3433020,9268
physaloptera turgida,3521407,75559,helminth,didelphis marsupialis,3433020,9268
salmonella enterica,3443028,28901,bacteria,didelphis marsupialis,3433020,9268
sarcocystis falcatula,3448477,32593,protozoa,didelphis marsupialis,3433020,9268
sarcocystis neurona,3465203,42890,protozoa,didelphis marsupialis,3433020,9268
sarcocystis speeri,26201164,1636721,protozoa,didelphis marsupialis,3433020,9268
schistosoma haematobium,3428021,6185,helminth,didelphis marsupialis,3433020,9268
st. louis encephalitis virus,3435876,11080,virus,didelphis marsupialis,3433020,9268
thaumasioscolex didelphidis,3580835,109208,helminth,didelphis marsupialis,3433020,9268
toxoplasma gondii,3427408,5811,protozoa,didelphis marsupialis,3433020,9268
travassostrongylus callis,27529763,1290192,helminth,didelphis marsupialis,3433020,9268
travassostrongylus orloffi,27529765,1290193,helminth,didelphis marsupialis,3433020,9268
trypanosoma cruzi,3427225,5693,protozoa,didelphis marsupialis,3433020,9268
trypanosoma rangeli,3427235,5698,protozoa,didelphis marsupialis,3433020,9268
viannaia didelphis,27258932,1290197,helminth,didelphis marsupialis,3433020,9268
viannaia viannai,27529769,1290200,helminth,didelphis marsupialis,3433020,9268
yersinia pestis,3419122,632,bacteria,didelphis marsupialis,3433020,9268
aspidodera raillieti,27216426,1097585,helminth,didelphis pernigra,24581836,994805
angiostrongylus cantonensis,3428245,6313,helminth,didelphis virginiana,3433018,9267
angiostrongylus costaricensis,3789243,334426,helminth,didelphis virginiana,3433018,9267
aspidodera raillieti,27216426,1097585,helminth,didelphis virginiana,3433018,9267
besnoitia darlingi,3661610,190281,protozoa,didelphis virginiana,3433018,9267
brachylaima virginianum,3787867,332927,helminth,didelphis virginiana,3433018,9267
coxiella burnetii,3419338,777,bacteria,didelphis virginiana,3433018,9267
cruzia americana,3493839,59252,helminth,didelphis virginiana,3433018,9267
didelphostrongylus hayesi,3708797,242445,helminth,didelphis virginiana,3433018,9267
gnathostoma turgidum,3497706,61465,helminth,didelphis virginiana,3433018,9267
leptospira interrogans,3418416,173,bacteria,didelphis virginiana,3433018,9267
neospora caninum,3443483,29176,protozoa,didelphis virginiana,3433018,9267
oligacanthorhynchus tortuosa,3536954,84287,helminth,didelphis virginiana,3433018,9267
paragonimus mexicanus,3565286,100270,helminth,didelphis virginiana,3433018,9267
pasteurella multocida,3419291,747,bacteria,didelphis virginiana,3433018,9267
rhopalias macracanthus,27459174,1775851,helminth,didelphis virginiana,3433018,9267
salmonella enterica,3443028,28901,bacteria,didelphis virginiana,3433018,9267
sarcocystis falcatula,3448477,32593,protozoa,didelphis virginiana,3433018,9267
sarcocystis neurona,3465203,42890,protozoa,didelphis virginiana,3433018,9267
sarcocystis speeri,26201164,1636721,protozoa,didelphis virginiana,3433018,9267
streptococcus didelphis,3569909,102886,bacteria,didelphis virginiana,3433018,9267
toxoplasma gondii,3427408,5811,protozoa,didelphis virginiana,3433018,9267
trichinella spiralis,3428270,6334,helminth,didelphis virginiana,3433018,9267
trypanosoma cruzi,3427225,5693,protozoa,didelphis virginiana,3433018,9267
viannaia didelphis,27258932,1290197,helminth,didelphis virginiana,3433018,9267
viannaia hamata,27258934,1290198,helminth,didelphis virginiana,3433018,9267
viannaia viannai,27529769,1290200,helminth,didelphis virginiana,3433018,9267
anoplocephaloides dentata,3512588,70593,helminth,dinaromys bogdanovi,3865512,418655
rodentolepis asymmetrica,3512714,70665,helminth,dinaromys bogdanovi,3865512,418655
rabies virus,3436242,11292,virus,diphylla ecaudata,3622900,148089
angiostrongylus cantonensis,3428245,6313,helminth,diplothrix legata,3575706,106283
rabies virus,3436242,11292,virus,dipodillus campestris,3462215,41199
babesia behnkei,26302970,1538646,protozoa,dipodillus dasyurus,4094491,723804
"dipodillus herpesvirus svms 065,081",24605277,1032407,virus,dipodillus dasyurus,4094491,723804
anaplasma phagocytophilum,3419585,948,bacteria,dipodomys californicus,3434255,10017
borrelia burgdorferi,3418354,139,bacteria,dipodomys californicus,3434255,10017
borrelia californiensis,3824482,373543,bacteria,dipodomys californicus,3434255,10017
chaetomidium arxii,4051549,669017,fungi,dipodomys californicus,3434255,10017
sin nombre virus,3456178,37705,virus,dipodomys californicus,3434255,10017
chaetomidium arxii,4051549,669017,fungi,dipodomys heermanni,3434257,10018
escherichia coli,3419013,562,bacteria,dipodomys merriami,3554781,94247
pithoascus nidicola,3657975,186348,fungi,dipodomys merriami,3554781,94247
sin nombre virus,3456178,37705,virus,dipodomys ordii,3434261,10020
chaetomidium arxii,4051549,669017,fungi,dipodomys panamintinus,3434259,10019
penicillium dipodomyicola,3720124,254876,fungi,dipodomys spectabilis,3573871,105255
rodent hantavirus,26205328,2050013,virus,dipus sagitta,3518503,73863
bat coronavirus ifb2012-13f,26205154,1476949,virus,dobsonia moluccensis,3463899,42147
bat coronavirus ifb2012-17f,26205156,1476950,virus,dobsonia moluccensis,3463899,42147
bat coronavirus ifb2012-8f,26205158,1476951,virus,dobsonia moluccensis,3463899,42147
bat polyomavirus 5a,26205234,1623687,virus,dobsonia moluccensis,3463899,42147
bat polyomavirus 6b,26205242,1623689,virus,dobsonia moluccensis,3463899,42147
bat polyomavirus 6c,26205244,1623688,virus,dobsonia moluccensis,3463899,42147
cryptosporidium parvum,3427400,5807,protozoa,dolichotis patagonum,3443347,29091
giardia intestinalis,3427309,5741,protozoa,dolichotis patagonum,3443347,29091
leptospira interrogans,3418416,173,bacteria,dolichotis patagonum,3443347,29091
salmonella enterica,3443028,28901,bacteria,dolichotis patagonum,3443347,29091
toxoplasma gondii,3427408,5811,protozoa,dolichotis patagonum,3443347,29091
hymenolepis diminuta,3428080,6216,helminth,dryomys nitedula,3486530,55145
hymenolepis nana,3568829,102285,helminth,dryomys nitedula,3486530,55145
trichuris muris,3512274,70415,helminth,dryomys nitedula,3486530,55145
cryptosporidium parvum,3427400,5807,protozoa,dugong dugon,3443425,29137
enterococcus faecalis,3420213,1351,bacteria,dugong dugon,3443425,29137
indosolenorchis hirudinaceus,3517068,73075,helminth,dugong dugon,3443425,29137
lankatrema mannarense,3700409,232664,helminth,dugong dugon,3443425,29137
morganella morganii,3419047,582,bacteria,dugong dugon,3443425,29137
opisthotrema dujonis,3700411,232666,helminth,dugong dugon,3443425,29137
pasteurella multocida,3419291,747,bacteria,dugong dugon,3443425,29137
rhabdiopoeus taylori,3517103,73093,helminth,dugong dugon,3443425,29137
serratia marcescens,3419092,615,bacteria,dugong dugon,3443425,29137
taprobanella bicaudata,3700400,232654,helminth,dugong dugon,3443425,29137
bat coronavirus mah051f,26205160,1644142,virus,eidolon dupreanum,3491728,58063
eidolon dupraenum simplexvirus 1,3994641,570422,virus,eidolon dupreanum,3491728,58063
lagos bat virus,3457970,38766,virus,eidolon dupreanum,3491728,58063
rabies virus,3436242,11292,virus,eidolon dupreanum,3491728,58063
tioman virus,3635448,162013,virus,eidolon dupreanum,3491728,58063
achimota virus 1,27250094,1261100,virus,eidolon helvum,3524418,77214
achimota virus 2,27250096,1261101,virus,eidolon helvum,3524418,77214
bat adenovirus,4095380,740971,virus,eidolon helvum,3524418,77214
bat gb-like virus jfd-2011,26205188,1002931,virus,eidolon helvum,3524418,77214
bat hepatovirus,26205192,1745250,virus,eidolon helvum,3524418,77214
bat paramyxovirus,26205218,1300978,virus,eidolon helvum,3524418,77214
bat rotavirus,26205252,1340801,virus,eidolon helvum,3524418,77214
chiropteran tetraparvovirus 1,26319152,1511912,virus,eidolon helvum,3524418,77214
eidolon helvum adenovirus 1,27786484,1335467,virus,eidolon helvum,3524418,77214
eidolon helvum adenovirus 2,27786486,1335468,virus,eidolon helvum,3524418,77214
eidolon helvum adenovirus 3,27744671,1335469,virus,eidolon helvum,3524418,77214
eidolon helvum herpesvirus 1,27744673,1335470,virus,eidolon helvum,3524418,77214
eidolon helvum herpesvirus 2,27744675,1335471,virus,eidolon helvum,3524418,77214
eidolon helvum herpesvirus 3,27744677,1335472,virus,eidolon helvum,3524418,77214
eidolon helvum kobuvirus,27786488,1335473,virus,eidolon helvum,3524418,77214
eidolon helvum lung retrovirus 1,27786492,1335474,virus,eidolon helvum,3524418,77214
eidolon helvum papillomavirus 1,27727389,1163701,virus,eidolon helvum,3524418,77214
eidolon helvum papillomavirus 2,27543093,1335476,virus,eidolon helvum,3524418,77214
eidolon helvum papillomavirus 3,27273496,1335477,virus,eidolon helvum,3524418,77214
eidolon helvum papillomavirus 4,27744679,1335478,virus,eidolon helvum,3524418,77214
eidolon helvum papillomavirus 5,27744681,1335479,virus,eidolon helvum,3524418,77214
eidolon helvum papillomavirus 6,27744683,1335480,virus,eidolon helvum,3524418,77214
eidolon helvum papillomavirus 7,27786498,1335481,virus,eidolon helvum,3524418,77214
eidolon helvum paramyxovirus,27726935,1133726,virus,eidolon helvum,3524418,77214
eidolon helvum parvovirus 2,27786500,1335482,virus,eidolon helvum,3524418,77214
eidolon helvum poxvirus 1,27786502,1335484,virus,eidolon helvum,3524418,77214
eidolon helvum simplexvirus 1,3994642,570423,virus,eidolon helvum,3524418,77214
eidolon helvum throat retrovirus 1,27786494,1335475,virus,eidolon helvum,3524418,77214
eidolon paramyxovirus rc09,27222486,1132582,virus,eidolon helvum,3524418,77214
escherichia coli,3419013,562,bacteria,eidolon helvum,3524418,77214
hendra virus,3500937,63330,virus,eidolon helvum,3524418,77214
influenza a virus,3436278,11320,virus,eidolon helvum,3524418,77214
kumasi rhabdbovirus,27310744,1537975,virus,eidolon helvum,3524418,77214
lagos bat virus,3457970,38766,virus,eidolon helvum,3524418,77214
leptospira borgpetersenii,3418418,174,bacteria,eidolon helvum,3524418,77214
leptospira kirschneri,3444008,29507,bacteria,eidolon helvum,3524418,77214
menangle virus,3626534,152219,virus,eidolon helvum,3524418,77214
mokola virus,3437756,12538,virus,eidolon helvum,3524418,77214
nipah virus,3599170,121791,virus,eidolon helvum,3524418,77214
